식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D401-079000000-0001,육회비빔밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1079,육회비빔밥,107900,해당없음,10790000,해당없음,0,해당없음,100ml,115,19.9,3.9,2.88,,17.66,0.71,0.9,27.0,0.7,58.0,78.0,77.0,20.0,9.0,140.0,0.055,0.053,0.425,0.16,0.07,24.17,0.65,,3,식품의약품안전처,700ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-080000000-0001,장어 덮밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1080,장어 덮밥,108000,해당없음,10800000,해당없음,0,해당없음,100ml,95,13.6,3.5,1.99,,15.04,0.42,0.4,12.0,0.33,46.0,28.0,80.0,68.0,65.0,35.0,0.025,0.037,0.565,0.12,0.6,23.52,0.48,,3,식품의약품안전처,500ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-081000000-0001,장어 초밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1081,장어 초밥,108100,해당없음,10810000,해당없음,0,해당없음,100ml,95,13.6,3.5,1.99,,15.04,0.42,0.4,12.0,0.33,46.0,28.0,80.0,68.0,65.0,35.0,0.025,0.037,0.565,0.12,0.6,23.52,0.48,,3,식품의약품안전처,500ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-083000000-0001,팥밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1083,팥밥,108300,해당없음,10830000,해당없음,0,해당없음,100ml,140,5.0,3.2,0.41,,29.53,0.19,1.3,5.0,0.29,51.0,80.0,1.0,0.0,0.0,0.0,0.059,0.018,0.431,0.16,0.0,0.0,0.11,,3,식품의약품안전처,250ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-084000000-0001,해물 덮밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1084,해물 덮밥,108400,해당없음,10840000,해당없음,0,해당없음,100ml,78,19.5,3.8,0.39,,14.15,0.69,0.6,7.0,0.29,56.0,77.0,68.0,10.0,0.0,119.0,0.035,0.017,0.326,1.9,0.53,26.88,0.1,,3,식품의약품안전처,572ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D401-085000000-0001,혼합잡곡밥,D,음식,4,외식(재료량 기반 산출함량),1,밥류,1085,혼합잡곡밥,108500,해당없음,10850000,해당없음,0,해당없음,100ml,118,4.4,2.3,0.22,,25.63,0.07,0.7,3.0,0.53,38.0,67.0,2.0,0.0,0.0,2.0,0.073,0.015,0.454,0.12,0.0,0.0,0.06,,3,식품의약품안전처,250ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D402-077000000-0001,계란빵,D,음식,4,외식(재료량 기반 산출함량),2,빵 및 과자류,2077,계란빵,207700,해당없음,20770000,해당없음,0,해당없음,100ml,158,19.3,6.0,1.99,,27.2,1.35,0.9,64.0,0.7,129.0,64.0,193.0,24.0,24.0,0.0,0.067,0.08,0.144,0.06,0.21,60.66,0.6,,3,식품의약품안전처,150ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D402-106000000-0001,츄러스,D,음식,4,외식(재료량 기반 산출함량),2,빵 및 과자류,2106,츄러스,210600,해당없음,21060000,해당없음,0,해당없음,100ml,185,10.0,4.2,4.29,,30.74,3.01,1.0,65.0,0.41,111.0,52.0,303.0,7.0,7.0,0.0,0.061,0.048,0.16,0.09,0.07,12.09,0.78,,3,식품의약품안전처,140ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D402-120000000-0001,피자,D,음식,4,외식(재료량 기반 산출함량),2,빵 및 과자류,2120,피자,212000,해당없음,21200000,해당없음,0,해당없음,100ml,153,38.7,7.8,4.77,,21.07,3.1,1.6,45.0,0.53,98.0,210.0,179.0,30.0,18.0,138.0,0.104,0.13,1.222,6.88,0.04,15.53,2.31,,3,식품의약품안전처,210ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
D402-123450000-0001,햄버거_돼지고기,D,음식,4,외식(재료량 기반 산출함량),2,빵 및 과자류,2123,햄버거,212345,돼지고기,21234500,해당없음,0,해당없음,100ml,204,43.5,9.1,9.69,,19.35,2.85,1.6,17.0,0.7,88.0,154.0,408.0,10.0,7.0,40.0,0.154,0.185,1.245,1.7,0.06,26.87,3.26,,3,식품의약품안전처,210ml,해당없음,3,산출,2024-01-31,2025-04-08,1471000,식품의약품안전처
